Flight Number,Date,From,To,Aircraft,Flight time,STD,ATD,STA,ATA,STD_datetime,ATD_datetime,STA_datetime,ATA_datetime,centrality
AI2739,2025-07-21,Mumbai (BOM),Chennai (MAA),A20N (VT-TQJ),0 days 01:35:00,09:00:00,09:40:00,11:00:00,11:14:00,2025-07-21 09:00:00,2025-07-21 09:40:00,2025-07-21 11:00:00,2025-07-21 11:14:00,0.125
AI2739,2025-07-19,Mumbai (BOM),Chennai (MAA),A20N (VT-TNZ),0 days 01:34:00,09:00:00,09:08:00,11:00:00,10:41:00,2025-07-19 09:00:00,2025-07-19 09:08:00,2025-07-19 11:00:00,2025-07-19 10:41:00,0.0
AI2739,2025-07-20,Mumbai (BOM),Chennai (MAA),A20N (VT-TNP),0 days 01:33:00,09:00:00,09:17:00,11:00:00,10:49:00,2025-07-20 09:00:00,2025-07-20 09:17:00,2025-07-20 11:00:00,2025-07-20 10:49:00,0.0
AI2739,2025-07-22,Mumbai (BOM),Chennai (MAA),A20N (VT-TNF),0 days 01:37:00,09:00:00,09:17:00,11:00:00,10:54:00,2025-07-22 09:00:00,2025-07-22 09:17:00,2025-07-22 11:00:00,2025-07-22 10:54:00,0.0
AI2739,2025-07-23,Mumbai (BOM),Chennai (MAA),A20N (VT-TQJ),0 days 01:35:00,09:00:00,09:20:00,11:00:00,10:55:00,2025-07-23 09:00:00,2025-07-23 09:20:00,2025-07-23 11:00:00,2025-07-23 10:55:00,0.0
AI2739,2025-07-24,Mumbai (BOM),Chennai (MAA),A20N (VT-TNR),0 days 01:36:00,09:00:00,09:11:00,11:00:00,10:46:00,2025-07-24 09:00:00,2025-07-24 09:11:00,2025-07-24 11:00:00,2025-07-24 10:46:00,0.0
AI2739,2025-07-25,Mumbai (BOM),Chennai (MAA),A20N (VT-TQA),0 days 01:34:00,09:00:00,09:28:00,11:00:00,11:02:00,2025-07-25 09:00:00,2025-07-25 09:28:00,2025-07-25 11:00:00,2025-07-25 11:02:00,0.0
QP1518,2025-07-25,Mumbai (BOM),Cochin (COK),B38M (VT-YAB),0 days 01:36:00,09:10:00,09:41:00,11:15:00,11:17:00,2025-07-25 09:10:00,2025-07-25 09:41:00,2025-07-25 11:15:00,2025-07-25 11:17:00,0.0
AI645,2025-07-25,Mumbai (BOM),Jodhpur (JDH),A319 (VT-SCV),0 days 01:19:00,09:15:00,09:36:00,11:05:00,10:54:00,2025-07-25 09:15:00,2025-07-25 09:36:00,2025-07-25 11:05:00,2025-07-25 10:54:00,0.0
